x_meters,y_meters
-6.030163099569672625e+01,-5.251964967283693397e+01
-6.026209638344639075e+01,-5.201997840600891720e+01
-6.015307587311306747e+01,-5.153175107332725702e+01
-5.999754398979219161e+01,-5.105626772289299709e+01
-5.979026957140006004e+01,-5.060188962130966672e+01
-5.953266858337017453e+01,-5.017343764551205254e+01
-5.926244966985370155e+01,-4.975299318773767254e+01
-5.898177013020450232e+01,-4.933961514805864113e+01
-5.869890783012458968e+01,-4.892764144465859033e+01
-5.841729580584926396e+01,-4.851516233451357607e+01
-5.816230653336798895e+01,-4.808533637763041213e+01
-5.788812312849658781e+01,-4.766752246991494246e+01
-5.762349903164523823e+01,-4.724364704149464700e+01
-5.735617798570802250e+01,-4.682149620181827743e+01
-5.707641600270483906e+01,-4.640739037176429349e+01
-5.680009500321725824e+01,-4.599109857729928308e+01
-5.653159649258559938e+01,-4.556961702736768416e+01
-5.625422122942794800e+01,-4.515402106108994928e+01
-5.597246943394495844e+01,-4.474126322002759792e+01
-5.570984842677891180e+01,-4.431617530738248689e+01
-5.543751510158940476e+01,-4.389725044356457317e+01
-5.516230567535413343e+01,-4.348012696067670646e+01
-5.490210797672366994e+01,-4.305352580792018102e+01
-5.462968078750052570e+01,-4.263461938576988075e+01
-5.436324445029011088e+01,-4.221185501490886338e+01
-5.409395991601581244e+01,-4.179098462267295844e+01
-5.381406136531995088e+01,-4.137702621962010596e+01
-5.354618929868822619e+01,-4.095515986204237890e+01
-5.327647303012219737e+01,-4.053453331204656251e+01
-5.299581992983053880e+01,-4.012104595058109879e+01
-5.272215991380966926e+01,-3.970303961461083730e+01
-5.245765601629253183e+01,-3.927899713092115519e+01
-5.218136138974962535e+01,-3.886272799971518310e+01
-5.190201426843558608e+01,-3.844825488953019033e+01
-5.164715854246714599e+01,-3.801857122460582161e+01
-5.139861829080572164e+01,-3.758504792775779180e+01
-5.115377586989848879e+01,-3.714944654210111707e+01
-5.091796095559004698e+01,-3.670886971857212444e+01
-5.069168655750475949e+01,-3.626335797106050762e+01
-5.049249634643052076e+01,-3.580515493086490153e+01
-5.029730144503188427e+01,-3.534499280830111445e+01
-5.014893638108985385e+01,-3.486796594361327095e+01
-5.000899617700290634e+01,-3.438837081660081196e+01
-4.988530816658905565e+01,-3.390402505338489192e+01
-4.978907693833362913e+01,-3.341421428728781251e+01
-4.972324964603039632e+01,-3.291871431118125457e+01
-4.967382061973415830e+01,-3.242159730601925816e+01
-4.967584679035517325e+01,-3.192184965792627338e+01
-4.967396924613387199e+01,-3.142209080739519322e+01
-4.968011637117808021e+01,-3.092274308674344496e+01
-4.973970721633997982e+01,-3.042621147309323248e+01
-4.984094882859610465e+01,-2.993752116887679193e+01
-4.994399834954766249e+01,-2.944866420397656270e+01
-5.009868957254399646e+01,-2.897312476488046684e+01
-5.025685984420641716e+01,-2.849942416821841107e+01
-5.047997483007559794e+01,-2.805224685802124895e+01
-5.070283626063879723e+01,-2.760464782568863740e+01
-5.097600533673634260e+01,-2.718694847880136223e+01
-5.127058947780570008e+01,-2.678350047299056769e+01
-5.159573490050698297e+01,-2.640400069250743798e+01
-5.194264454276889609e+01,-2.604438299327184581e+01
